 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
120,Marcus Mariota,QB18,TEN,13,76,186,123.4107143,23.35959331,143
121,LeGarrette Blount,RB41,NE,9,74,177,122.1454545,25.76567003,115
122,Tevin Coleman,RB42,ATL,11,39,172,121.2592593,24.32662403,128
123,Matthew Stafford,QB19,DET,10,67,192,122.7090909,20.16898855,141
124,Kamar Aiken,WR51,BAL,8,77,216,124.4727273,24.9412798,174
125,Eric Ebron,TE13,DET,10,84,185,125.6909091,18.26558884,167
126,Matt Ryan,QB20,ATL,11,94,195,127.0714286,18.78625746,153
127,Dwayne Allen,TE14,IND,10,50,209,127.3035714,25.72375198,181
128,Kenneth Dixon,RB43,BAL,8,78,180,121.8367347,22.3217172,132
129,Josh Gordon,WR52,CLE,13,52,229,114.7674419,47.32462715,176
130,Jimmy Graham,TE15,SEA,5,99,184,135.3508772,20.34999998,109
131,Ryan Tannehill,QB21,MIA,8,56,195,133.9454545,25.92045046,162
132,Josh Doctson,WR53,WAS,9,58,205,134.4150943,26.76200768,127
133,Theo Riddick,RB44,DET,10,101,191,130.72,21.06944707,131
134,Jordan Howard,RB45,CHI,9,82,194,130.8,23.83275058,145
135,C.J. Prosise,RB46,SEA,5,55,197,128.4791667,24.11775762,138
136,Bilal Powell,RB47,NYJ,11,97,179,138.3207547,21.10778591,159
137,Jason Witten,TE16,DAL,7,100,196,143.6785714,19.52206366,152
138,Seattle Seahawks,DST1,SEA,5,110,200,139.5,16.45448267,90
139,Devin Funchess,WR54,CAR,7,92,180,140.1730769,21.90602407,175
140,Michael Thomas,WR55,NO,5,91,312,141.5686275,33.5502286,140
141,Mohamed Sanu,WR56,ATL,11,99,196,141.5384615,21.63016193,180
142,Martellus Bennett,TE17,NE,9,99,190,145.7857143,22.05813284,150
143,Phillip Dorsett,WR57,IND,10,91,193,143.7592593,21.09408833,164
144,Kendall Wright,WR58,TEN,13,88,207,144.4814815,24.86983949,215
145,Karlos Williams,RB48,BUF,10,80,204,136.6170213,37.12460513,97
146,Denver Broncos,DST2,DEN,11,107,199,143.0769231,16.06698257,91
147,Javorius Allen,RB49,BAL,8,83,205,135,25.77164678,133
148,Zach Miller,TE18,CHI,9,101,184,143.6078431,19.39989734,199
149,Austin Seferian-Jenkins,TE19,TB,6,107,219,150.4615385,25.69155918,157
150,Jay Cutler,QB22,CHI,9,111,260,154.6666667,24.4381305,203
151,Mike Wallace,WR59,BAL,8,95,204,149.3061224,26.76138253,183
152,Terrance Williams,WR60,DAL,7,101,219,154.4150943,22.99748466,168
153,Arizona Cardinals,DST3,ARI,9,108,197,152.0416667,18.24938165,104
154,Jerick McKinnon,RB50,MIN,6,114,200,151.2608696,22.54795352,161
155,Rishard Matthews,WR61,TEN,13,99,202,155.78,20.67780453,239
156,Joe Flacco,QB23,BAL,8,101,226,155.4489796,22.14429601,193
157,Carolina Panthers,DST4,CAR,7,119,188,157.76,13.14162851,102
158,Jordan Cameron,TE20,MIA,8,120,209,161.962963,20.31781098,219
159,Paul Perkins,RB51,NYG,8,95,196,151.0952381,21.77351988,155
160,Sammie Coates,WR62,PIT,8,114,315,158.2391304,30.9460855,197
161,DeAndre Washington,RB52,OAK,10,29,195,152.0238095,31.31748948,177
162,Shane Vereen,RB53,NYG,8,101,197,155.5555556,21.86479215,204
163,Pierre Garcon,WR63,WAS,9,91,194,157.6382979,20.61338703,205
164,Houston Texans,DST5,HOU,9,132,227,157.4347826,15.94781186,114
165,Darren McFadden,RB54,DAL,7,74,207,152.9047619,29.94424146,129
166,Charles Clay,TE21,BUF,10,114,210,162.2941176,21.29189675,238
167,Devontae Booker,RB55,DEN,11,97,295,156.5609756,32.68254459,137
168,Nelson Agholor,WR64,PHI,4,108,204,160.4042553,24.01299256,217
169,James Starks,RB56,GB,4,107,203,160.4565217,21.05345838,134
170,Chris Hogan,WR65,NE,9,97,316,163.8863636,34.4437723,187
171,Alex Smith,QB24,KC,5,115,266,167.3333333,26.75687866,192
172,Breshad Perriman,WR66,BAL,8,105,230,156.9722222,27.96573907,158
173,Darren Sproles,RB57,PHI,4,83,200,164.6904762,25.74553877,151
174,Tyler Boyd,WR67,CIN,9,121,314,166.9,31.81179027,196
